akt;hiddenlayer;dropout;eta;regul;regulrate;batchsize;firstmomentrate;secmomentrate;Adamconst;MSE;R2;TrainSteps;Time_s
relu;(100, 100, 100, 50);0;0.01;l1;1.00E-05;64;0.9;0.9;1.00E-07;0.014885642;0.338398732;549;4.33
relu;(50, 50, 50);0;0.01;l1;1.00E-05;64;0.99;0.99;1.00E-07;0.015017597;0.332533921;549;3.68
relu;(50, 50, 50);0;0.01;l1;1.00E-05;32;0.9;0.999;1.00E-08;0.015028669;0.332041817;610;2.9
relu;(50, 50, 50);0;0.03;l2;0.0001;64;0.8;0.999;1.00E-06;0.015055054;0.33086908;549;1.89
relu;(50, 50, 50);0;0.01;l1;1.00E-05;64;0.8;0.99;1.00E-08;0.015060385;0.33063215;549;3.34
relu;(50, 50, 50);0;0.01;l1;1.00E-05;64;0.9;0.9;1.00E-06;0.015076207;0.329928953;549;2.97
relu;(50, 50, 50);0;0.01;l2;0.0001;16;0.8;0.9;1.00E-08;0.015077968;0.329850656;732;4.49
relu;(100, 50, 25);0;0.01;l1;1.00E-05;64;0.9;0.999;1.00E-06;0.01507919;0.32979635;549;3.06
relu;(100, 100, 100, 50);0;0.001;l2;0.0001;32;0.99;0.9;1.00E-08;0.015081686;0.329685438;610;3.93
relu;(50, 50, 50);0;0.001;l1;1.00E-05;32;0.9;0.9;1.00E-08;0.015082508;0.329648903;610;3.12
relu;(50, 50, 50);0;0.01;l1;1.00E-05;64;0.8;0.9;1.00E-06;0.015088761;0.329370973;549;3.12
relu;(100, 50, 25);0;0.03;l1;1.00E-05;64;0.8;0.999;1.00E-08;0.015094767;0.329104032;549;3.07
relu;(100, 50, 25);0;0.01;l1;1.00E-05;64;0.8;0.99;1.00E-08;0.015096925;0.329008104;549;3.02
relu;(100, 100, 100, 50);0;0.01;l2;0.0001;16;0.8;0.999;1.00E-06;0.015097963;0.328961996;732;4.37
relu;(50, 50, 50);0.1;0.01;l2;1.00E-05;32;0.8;0.9;1.00E-06;0.015099065;0.328913016;610;2.95
relu;(50, 50, 50);0;0.01;l2;1.00E-05;32;0.9;0.9;1.00E-07;0.015107504;0.328537937;610;3.05
relu;(100, 100, 100, 50);0;0.01;l1;1.00E-05;64;0.99;0.999;1.00E-06;0.015109678;0.328441302;549;4.22
relu;(100, 100, 100, 50);0;0.01;l1;1.00E-05;32;0.9;0.99;1.00E-06;0.01511275;0.328304775;610;4.26
relu;(100, 100, 100, 50);0;0.01;l1;1.00E-05;64;0.9;0.9;1.00E-08;0.01511509;0.328200761;549;4.29
