akt;hiddenlayer;dropout;eta;regul;regulrate;batchsize;firstmomentrate;secmomentrate;Adamconst;MSE;R2;TrainSteps;Time_s
relu;(100, 50, 25);0;0.01;l1;0.0001;64;0.9;0.999;1.00E-06;0.018399464;0.265230958;504;0.39
relu;(100, 50, 25);0;0.01;l1;1.00E-05;16;0.9;0.9;1.00E-06;0.01862887;0.256069785;506;0.8
relu;(100, 100, 100, 50);0;0.03;none;0.01;64;0.8;0.9;1.00E-08;0.018692905;0.253512603;504;1.55
relu;(100, 50, 25);0;0.01;l2;0.0001;64;0.8;0.999;1.00E-08;0.018757308;0.250940708;504;0.37
relu;(100, 50, 25);0.1;0.01;none;0.01;64;0.9;0.9;1.00E-06;0.018784871;0.249840028;504;0.92
relu;(100, 50, 25);0.1;0.01;l2;1.00E-05;32;0.8;0.999;1.00E-08;0.018936528;0.24378369;506;0.75
relu;(50, 50, 50);0;0.01;l1;0.0001;64;0.9;0.99;1.00E-08;0.019020594;0.240426569;504;0.44
relu;(100, 50, 25);0;0.01;l1;0.0001;32;0.9;0.9;1.00E-08;0.019041982;0.23957247;506;0.36
relu;(100, 100, 100, 50);0.1;0.03;none;0.0001;32;0.8;0.99;1.00E-08;0.019139822;0.235665317;506;1.53
relu;(100, 100, 100, 50);0.1;0.01;l2;1.00E-05;64;0.8;0.999;1.00E-06;0.019144044;0.235496703;504;1.79
relu;(100, 50, 25);0;0.01;l1;0.0001;32;0.9;0.999;1.00E-08;0.019190228;0.233652379;506;0.33
relu;(100, 100, 100, 50);0;0.01;none;1.00E-05;16;0.9;0.999;1.00E-08;0.019206781;0.232991331;506;1.07
relu;(100, 50, 25);0;0.01;l1;1.00E-05;32;0.9;0.999;1.00E-08;0.01925208;0.23118238;506;0.9
relu;(100, 100, 100, 50);0;0.03;l2;0.0001;16;0.8;0.9;1.00E-06;0.019332952;0.227952784;506;0.93
relu;(100, 100, 100, 50);0.1;0.01;l1;1.00E-05;16;0.8;0.99;1.00E-06;0.019373592;0.226329863;506;1.38
relu;(100, 100, 100, 50);0;0.03;l2;0.0001;32;0.8;0.9;1.00E-08;0.019403134;0.225150126;506;1.08
