akt;hiddenlayer;dropout;eta;regul;regulrate;batchsize;MSE;R2;TrainSteps;Time_s
relu;(50, 50, 50);0;0.001;none;0.0001;32;0.022036581;0.084503177;50;6.21
relu;(100, 50, 25);0.2;0.01;l2;0.0001;32;0.022567797;0.062434094;50;5.49
relu;(100, 50, 25);0.2;0.001;none;0.0001;32;0.02261023;0.060671239;50;5.16
relu;(100, 50, 25);0.2;0.001;l2;0.0001;32;0.022785097;0.053406505;50;4.22
relu;(100, 50, 25);0;0.001;l2;0.0001;32;0.022800635;0.052760974;50;3.23
relu;(50, 50, 50);0;0.001;none;0.001;32;0.022836949;0.051252353;50;2.21
relu;(100, 50, 25);0.2;0.001;l2;0.001;32;0.022840655;0.05109837;50;4.72
relu;(100, 50, 25);0.2;0.01;none;0.0001;32;0.022868343;0.049948114;50;4.49
relu;(100, 50, 25);0.2;0.01;l2;0.001;32;0.023016125;0.043808594;50;7.83
relu;(50, 50, 50);0;0.01;l2;0.0001;32;0.023151482;0.038185256;50;10.36
relu;(100, 50, 25);0.2;0.001;none;0.001;32;0.023173805;0.037257845;50;3.2
relu;(50, 50, 50);0.2;0.01;none;0.001;32;0.023186012;0.036750732;50;2.92
relu;(100, 50, 25);0;0.001;l2;0.001;32;0.023199994;0.036169866;50;11.58
relu;(100, 50, 25);0;0.01;l2;0.0001;32;0.02327629;0.033000166;50;12.07
relu;(50, 50, 50);0;0.01;none;0.0001;32;0.023401736;0.027788597;50;8.91
relu;(50, 50, 50);0.2;0.001;l2;0.001;32;0.023526307;0.022613375;50;2.86
relu;(50, 50, 50);0.2;0.001;none;0.001;32;0.023683155;0.01609723;50;4.3
relu;(50, 50, 50);0.2;0.01;l2;0.001;32;0.023755449;0.013093813;50;2.8
relu;(100, 50, 25);0;0.001;none;0.0001;32;0.023762383;0.012805725;50;10.19
sigmoid;(50, 50, 50);0.2;0.01;none;0.0001;32;0.023942063;0.005341017;50;45.98
sigmoid;(100, 50, 25);0;0.001;none;0.001;32;0.023950195;0.005003201;50;244.1
sigmoid;(50, 50, 50);0;0.01;none;0.001;32;0.023978199;0.003839805;50;137.46
relu;(50, 50, 50);0.2;0.01;none;0.0001;32;0.023991759;0.003276439;50;2.77
sigmoid;(50, 50, 50);0.2;0.001;none;0.0001;32;0.023999746;0.002944628;50;49.23
sigmoid;(100, 50, 25);0.2;0.001;none;0.0001;32;0.024035951;0.001440507;50;53.41
sigmoid;(50, 50, 50);0.2;0.001;none;0.001;32;0.024053648;0.000705307;50;40.03
sigmoid;(50, 50, 50);0;0.01;l2;0.0001;32;0.024067941;0.0001115;50;185.52
sigmoid;(50, 50, 50);0.2;0.001;l2;0.0001;32;0.024076872;-0.000259525;50;44.05
sigmoid;(100, 50, 25);0;0.001;l2;0.001;32;0.024108441;-0.001571044;50;240.31
sigmoid;(100, 50, 25);0.2;0.001;none;0.001;32;0.024123174;-0.002183105;50;30.01
sigmoid;(50, 50, 50);0.2;0.01;l2;0.001;32;0.024123418;-0.002193253;50;34.11
sigmoid;(50, 50, 50);0.2;0.01;none;0.001;32;0.024127131;-0.002347522;50;37.72
sigmoid;(100, 50, 25);0;0.001;l2;0.0001;32;0.024129947;-0.002464504;50;224.65
