akt;hiddenlayer;dropout;eta;regul;regulrate;batchsize;RMSPropconst;RMSProprate;MSE;R2;TrainSteps;Time_s
relu;(50, 25);0;0.01;l1;1.00E-05;64;1.00E-06;0.8;0.01454629;0.305322805;549;1.53
relu;(100, 50, 25);0;0.01;l1;1.00E-05;64;1.00E-06;0.8;0.014562979;0.304525797;549;4.6
relu;(50, 25);0.1;0.03;l1;1.00E-05;64;1.00E-05;0.8;0.014593721;0.30305768;549;1.92
relu;(50, 25);0;0.03;l1;1.00E-05;64;1.00E-06;0.8;0.014656803;0.30004508;549;1.54
relu;(50, 25);0;0.01;l2;1.00E-05;64;1.00E-06;0.9;0.014661897;0.299801838;549;1.44
relu;(50, 25);0;0.03;l1;1.00E-05;32;1.00E-06;0.8;0.014673236;0.299260339;610;1.64
relu;(100, 50, 25);0;0.01;l2;1.00E-05;32;1.00E-06;0.9;0.014675312;0.299161176;610;4.46
relu;(50, 25);0;0.03;l2;1.00E-05;64;1.00E-06;0.9;0.014677338;0.299064405;549;1.53
relu;(100, 50, 25);0;0.003;l2;0.001;32;1.00E-06;0.8;0.014684098;0.298741592;610;4.46
relu;(50, 25);0;0.003;l2;0.001;64;1.00E-06;0.9;0.014687522;0.298578066;549;1.51
relu;(50, 25);0;0.03;l2;0.001;64;0.0001;0.8;0.014698837;0.298037701;549;1.56
relu;(100, 50, 25);0;0.01;l1;1.00E-05;16;1.00E-06;0.9;0.014704148;0.297784087;732;5.48
relu;(50, 25);0;0.03;l1;1.00E-05;32;1.00E-05;0.9;0.01471499;0.297266308;610;1.6
relu;(100, 100, 100, 50);0;0.01;l2;1.00E-05;32;1.00E-06;0.8;0.014718815;0.297083655;610;3.59
relu;(50, 25);0.1;0.01;l2;1.00E-05;32;1.00E-06;0.8;0.014720553;0.297000632;610;1.8
relu;(50, 25);0;0.003;l2;0.001;16;1.00E-06;0.99;0.01472296;0.296885694;732;1.66
relu;(100, 100, 100, 50);0.1;0.01;l2;1.00E-05;32;1.00E-06;0.8;0.014729522;0.296572332;610;5.71
relu;(100, 50, 25);0;0.03;l1;1.00E-05;16;1.00E-06;0.9;0.014729995;0.296549702;732;3.44
relu;(100, 50, 25);0;0.01;l2;1.00E-05;32;1.00E-06;0.8;0.014730436;0.296528663;610;4.37
relu;(50, 25);0.1;0.01;l1;1.00E-05;32;1.00E-06;0.8;0.014736241;0.296251437;610;2.05
relu;(50, 25);0.1;0.01;l1;1.00E-05;64;1.00E-06;0.8;0.014744847;0.295840438;549;1.85
relu;(100, 100, 100, 50);0;0.01;l1;1.00E-05;64;1.00E-06;0.8;0.014749201;0.295632534;549;3.96
relu;(50, 25);0;0.01;l2;0.001;64;1.00E-06;0.8;0.014766782;0.294792896;549;1.55
relu;(50, 25);0;0.01;l2;1.00E-05;16;1.00E-06;0.9;0.01476753;0.294757184;732;1.69
relu;(100, 50, 25);0;0.003;l2;0.001;64;1.00E-06;0.9;0.014767627;0.294752556;549;4.2
relu;(100, 50, 25);0;0.01;l1;1.00E-05;32;1.00E-06;0.9;0.014768777;0.294697632;610;5.21
relu;(100, 100, 100, 50);0;0.01;l1;1.00E-05;32;1.00E-06;0.9;0.014770659;0.294607748;610;3.82
relu;(100, 50, 25);0;0.01;l1;1.00E-05;64;1.00E-06;0.9;0.01477279;0.294505994;549;4.45
relu;(100, 100, 100, 50);0;0.003;l2;0.001;64;1.00E-06;0.99;0.014773448;0.294474586;549;3.71
relu;(50, 25);0;0.03;l1;1.00E-05;64;1.00E-05;0.8;0.014774326;0.294432648;549;1.67
