akt;hiddenlayer;dropout;eta;regul;regulrate;batchsize;RMSPropconst;RMSProprate;MSE;R2;TrainSteps;Time_s
relu;(100, 100, 100, 50);0;0.03;l2;1.00E-05;32;0.0001;0.9;0.01743805;0.265362378;506;0.81
relu;(100, 50, 25);0;0.003;l1;0.001;64;1.00E-05;0.9;0.017846698;0.248146688;504;1.71
relu;(50, 25);0;0.03;l1;1.00E-05;64;1.00E-05;0.8;0.01791545;0.245250267;504;0.37
relu;(50, 25);0;0.001;l1;1.00E-05;64;1.00E-05;0.99;0.018036253;0.240161037;504;0.31
relu;(100, 100, 100, 50);0;0.03;l1;1.00E-05;16;1.00E-05;0.9;0.01811462;0.23685952;506;1.8
relu;(100, 50, 25);0;0.003;l2;1.00E-05;64;1.00E-05;0.99;0.018276351;0.23004605;504;0.52
relu;(100, 100, 100, 50);0;0.03;l2;1.00E-05;16;0.0001;0.9;0.018333671;0.227631276;506;0.62
relu;(50, 25);0;0.03;l2;0.001;64;1.00E-06;0.8;0.018400442;0.224818321;504;0.31
relu;(100, 50, 25);0;0.001;l2;0.01;16;1.00E-06;0.9;0.018497097;0.220746366;506;1.22
relu;(100, 50, 25);0;0.001;l2;1.00E-05;16;1.00E-05;0.99;0.018550528;0.218495412;506;0.29
relu;(100, 100, 100, 50);0;0.003;l2;0.001;64;1.00E-06;0.99;0.018551431;0.21845738;504;1.24
relu;(100, 100, 100, 50);0;0.001;l2;0.001;64;1.00E-05;0.8;0.018600632;0.216384604;504;2.52
relu;(50, 25);0.2;0.003;l2;0.001;32;1.00E-06;0.9;0.018622301;0.215471741;506;0.34
relu;(50, 25);0;0.03;l2;0.001;32;1.00E-06;0.8;0.018644547;0.214534531;506;0.23
relu;(100, 50, 25);0;0.03;l2;0.001;64;1.00E-05;0.9;0.018647082;0.214427768;504;1.35
relu;(100, 50, 25);0;0.03;l2;0.001;64;1.00E-05;0.8;0.018695999;0.21236695;504;1.55
relu;(50, 25);0.2;0.001;l2;1.00E-05;16;1.00E-05;0.8;0.018734167;0.210758983;506;0.23
relu;(100, 50, 25);0;0.03;l2;0.001;16;0.0001;0.9;0.018777645;0.208927348;506;1.03
relu;(100, 50, 25);0;0.03;l2;0.001;32;1.00E-05;0.8;0.018778942;0.208872689;506;1.18
relu;(100, 50, 25);0;0.03;l1;1.00E-05;64;0.0001;0.9;0.018797788;0.20807874;504;1.28
relu;(50, 25);0;0.001;l2;0.01;32;1.00E-06;0.8;0.018931087;0.202463059;506;0.29
relu;(50, 25);0;0.03;l2;0.001;64;0.0001;0.99;0.018947876;0.201755795;504;0.33
relu;(100, 100, 100, 50);0.2;0.03;l2;1.00E-05;32;1.00E-05;0.8;0.018993044;0.199852933;506;0.74
relu;(100, 100, 100, 50);0;0.03;l2;0.001;16;0.0001;0.8;0.019056837;0.19716542;506;0.73
relu;(100, 100, 100, 50);0;0.003;l1;1.00E-05;64;1.00E-05;0.99;0.019070229;0.196601222;504;2.65
relu;(50, 25);0.2;0.003;l1;1.00E-05;32;1.00E-05;0.99;0.019077438;0.196297516;506;0.37
relu;(100, 50, 25);0;0.03;l2;0.001;64;0.0001;0.8;0.019096481;0.195495288;504;1.55
relu;(50, 25);0;0.03;l1;1.00E-05;64;0.0001;0.8;0.019118281;0.194576899;504;0.32
relu;(50, 25);0;0.001;l2;0.01;32;1.00E-06;0.99;0.01912579;0.19426052;506;0.28
relu;(100, 100, 100, 50);0;0.03;l2;0.001;64;0.0001;0.8;0.019136322;0.193816849;504;1.9
relu;(100, 50, 25);0;0.001;l2;0.001;32;1.00E-06;0.8;0.019181578;0.191910258;506;0.39
relu;(50, 25);0.2;0.03;l1;1.00E-05;32;1.00E-05;0.9;0.019247509;0.189132697;506;0.41
relu;(100, 50, 25);0;0.03;l2;0.001;32;0.0001;0.8;0.019268125;0.188264204;506;1.12
relu;(50, 25);0;0.03;l2;0.001;64;1.00E-05;0.8;0.019284773;0.187562832;504;0.29
